2024-01-04;18:29:43;186;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
2024-01-04;18:31:13;286;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;309/100;(avg);1;100;1;6d23h
2024-01-04;18:31:28;304;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d23h
2024-01-04;18:36:13;608;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d23h
2024-01-04;18:36:28;625;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
2024-01-04;18:36:58;664;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;641/100;(avg);1;100;1;6d23h
2024-01-04;18:37:13;689;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d23h
2024-01-04;18:37:28;705;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;7;6d23h
2024-01-04;18:41:58;994;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;7;6d23h
2024-01-04;18:42:14;012;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
2024-01-04;18:44:29;157;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;145/100;(avg);1;100;1;6d23h
2024-01-04;18:44:44;182;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;752/100;(avg);1;100;2;6d23h
2024-01-04;18:44:59;204;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d23h
2024-01-04;18:45:14;229;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;6d23h
2024-01-04;18:45:29;246;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;6d23h
2024-01-04;18:49:44;519;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;6d23h
2024-01-04;18:49:59;535;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
2024-01-04;18:52:06;745;;NAME;REFERENCE;TARGETS;MINPODS;MAXPODS;REPLICAS;AGE
2024-01-04;18:52:06;752;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d
2024-01-04;18:53:59;793;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;292/100;(avg);1;100;1;7d
2024-01-04;18:54:14;814;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;3;7d
2024-01-04;18:57:45;045;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;272/100;(avg);1;100;3;7d
2024-01-04;18:58:00;065;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;7d
2024-01-04;18:58:15;087;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;9;7d
2024-01-04;19:02:45;383;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;9;7d
2024-01-04;19:03:00;398;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d
2024-01-04;19:05:15;548;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;196/100;(avg);1;100;1;7d
2024-01-04;19:05:30;565;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;7d
2024-01-04;19:05:45;589;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;196/100;(avg);1;100;2;7d
2024-01-04;19:06:00;606;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d
2024-01-04;19:10:45;926;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d
2024-01-04;19:11:00;946;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d
2024-01-04;19:11:30;997;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;1018/100;(avg);1;100;1;7d
2024-01-04;19:11:46;023;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d
2024-01-04;19:12:01;062;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;7d
2024-01-04;19:12:16;063;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;11;7d
2024-01-04;19:16:31;334;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;11;7d
